名称,图片,主料,辅料,调料,口味,方法,地域,季节,步骤,热量(卡路里),营养
奶油南瓜浓汤,200181.jpg,南瓜 奶油,牛奶 盐,,奶香,,,秋季食谱,"['精选金黄金黄的小南瓜，去皮切片', '蒸熟后加入奶油用料理机打成泥', '加入鲜牛奶', '炒锅放油，倒入混合均匀的南瓜泥', '放几个虾仁，放适量盐调味即可', '盛入碗中，用淡奶油点缀一下就可以了']",150,富含维生素A、含蛋白质、碳水化合物
草莓冰糖葫芦,383509.jpg,草莓,细砂糖 清水,,甜香,,,冬季食谱,"['草莓洗净，摘取叶子。', '用厨房纸擦干表面水分。', '用竹签把草莓串起来。', '锅中倒入100克清水，200克细砂糖。', '大火融化细砂糖后转小火继续熬煮，熬糖浆过程中尽量不要去搅动，避免结晶翻砂。', '熬至糖浆呈琥珀色，状态浓稠时，用筷子沾上少许糖浆，快速放入凉水中，如果糖马上凝固，代表糖浆熬好了。', '将草莓放入锅中滚动两圈即可，做好的冰糖草莓插在泡沫上，等待糖浆凝固。', '可以继续加热糖浆，熬至深棕色状态，就可以用来拉糖丝了，用两根筷子撩出冰糖丝缠绕在做好的冰糖草莓上。', '甜丝丝的冰糖草莓就完成啦~']",100,富含维生素C、含糖
薏米红枣酸奶,214788.jpg,薏米 酸奶,红枣 水,,酸甜,,,夏季食谱 儿童节,"['准备好原材料', '薏米清洗干净，用温水泡两个小时', '放入压力煲里，加入600克水', '压力煲插上电源，选择“八宝粥”功能，将压力调到最高，启动开始键开始煮', '煮好的薏米稍微冷却，倒入料理机桶里，加入酸奶和去核的大枣', '启动料理机打成细腻的糊', '非常好喝的薏米红枣酸奶做好了']",100,富含维生素、含蛋白质、铁元素
红烧黄花鱼,300658.jpg,黄花鱼,料酒 生抽 干红辣椒 盐 蒜 醋 葱 白糖 姜,,咸鲜,,,年夜饭 春季食谱,"['黄花鱼去鳞剖去内脏洗净沥干。', '葱切斜段、姜、蒜切片、干辣椒切小粒。', '热锅倒入适量油，油热后放入黄花鱼中火煎至两面呈黄色。', '将鱼拔在一边，放入葱、姜、蒜、干辣椒炒至出香味。', '倒入料酒大火烧至料酒沸腾挥发。', '再倒入一勺醋（配料内的一半），烧至醋沸腾。', '倒入清水至黄花鱼腹部位置，加入生抽、糖，大火烧开后转中小火焖煮5、6分钟左右。', '汤汁留一半时，加入盐，继续烧2分钟左右。', '换大火收汁至汤汁起泡粘稠时，沿锅边淋入剩余的醋。', '再次煮开后即可出锅装盘。']",150,富含蛋白质、含Omega-3脂肪酸
炝黄瓜,230687.jpg,黄瓜 蒜瓣 小香葱 辣椒面,凉拌酱油 蔬之鲜 醋 食用油,,咸鲜,,川菜,夏季食谱,"['准备好食材，非常简单的、一根黄瓜，一根葱，四个蒜瓣。', '刀横面把黄瓜拍开。', '拍好的黄瓜装到大碗里，把蒜瓣拍了切成蒜沫，葱切成葱花，放在黄瓜的最上面，再倒上点干辣椒面。', '开小火锅里放入油，放些花椒，爆出花椒的香味，把花椒捞出来，开大火油烧到八九成热，浇到黄瓜上，把蒜和葱的香味炝出来，再加入蔬之鲜，少许醋，少许凉拌酱油，拌好了装盘。', 'OK了，装盘成功。一道简单的凉菜就完成了。', 'OK了，装盘成功。一道简单的凉菜就完成了。', 'OK了，装盘成功。一道简单的凉菜就完成了。']",40,富含维生素C、含水分
腊肉炒冬笋,434281.jpg,腊肉 冬笋,辣椒 盐,,五香,,,秋季食谱 冬季食谱,"['腊肉冬笋备用', '腊肉切片', '冬笋腊肉切片焯水备用', '锅中倒入少许油炒香辣椒腊肉', '加入冬笋翻炒均匀', '加入少许盐生抽调味即可', '装盘。']",150,富含蛋白质、含脂肪、维生素B
免烤杏仁奶酪塔,301705.jpg,杏仁 鲜红枣 自制淡奶酪,冰糖粉,,果味,,,春季食谱,"['备好原料，鲜红枣没有的话可以用干红枣温水泡涨。', '杏仁是生的用盐焗熟，晾凉备用。用熟杏仁的话可以免了这一步', '鲜枣去核，取果肉', '把枣肉和杏仁一起放入料理机中。我是刚刚打了南瓜粉，就没有刷料理机，直接用了', '搅拌打碎，我喜欢有颗粒的，吃起来香，所以没有打太碎。干的比较难搅打，可以用勺子往中间扒拉扒拉再继续搅打', '搅打好的果仁很容易成型，用小的塔模成型制成塔皮，如果没有这种模具随便用你家里餐具成型也可以啊，只是塔模更容易脱模，餐具则适合直接吃', '做好的淡奶酪，具体做法可以参考我之前发过的菜谱http://home.meishichina.com/recipe-299280.html', '因淡奶酪是原味的没有糖，可以稍微加点冰糖粉或者白糖蜂蜜之类的增加甜味。喜欢原味的也可以不加糖的哦，原味奶酪配上也很好吃的', '把拌好的奶酪装入塔皮里面，就可以开吃啦，有小个是水果如蓝莓之类的装饰的话更漂亮哦，我今天手头没了，家里做好的有山楂糕，就弄了一点山楂糕点缀了一下。']",200,富含蛋白质、含钙、维生素E
串串香,263132.jpg,玉米 藕 蔬菜 鹌鹑蛋 千张 油豆腐 香菇 土豆 金针菇 丸子 冬瓜,姜 蒜 花椒粉 大葱 豆瓣酱 火锅料 芝麻,,超辣,,重庆菜,,"['准备食材：可以根据自己的喜好，来准备各种食材，喜欢吃什么就准备什么。', '炒料最重要：我准备有，火锅底料，豆瓣酱、大葱、花椒粉、姜、蒜芝麻、', '要先准备好骨头汤，鸡汤都可以', '将菜穿好。（签字超市有买）', '穿好的各种蔬菜', '开始炒底料：锅内倒油，放入蒜、姜、大葱炒至香味出来', '炒出香味放入花椒粉、豆瓣酱（花椒粉是事先炒熟的花椒研成的粉末、豆瓣酱我剁碎了，没有那么多大的渣）', '豆瓣酱炒出红油', '放入火锅底料炒，炒出香味', '炒好之后放入骨头汤', '放入高汤后', '中大火煮高汤15-20分钟', '汤料煮好之后放入芝麻', '香喷喷的串串底料好了哦，汤料放入火锅锅内，开始煮，这是可以将串串让入煮来吃了哦', '放入串串', '准备一点蘸料可以开吃了，一般串串是可以不用蘸料的，味道浓。煮熟可以直接吃了']",100,富含蛋白质、维生素B、铁元素
白萝卜羊肉汤,204166.jpg,羊肉 白萝卜,姜 大蒜 大葱 白芷 白蔻 香菜 盐,,咸鲜,,豫菜,冬季食谱,"['羊排上的肋排留做它用，将羊排的边角切下来，洗净，切大块', '白萝卜半根，刮去表皮，洗净', '切成大小均匀的滚刀块', '香料准备好', '煲中放清水，将羊肉一同入锅', '待水开后，撇去浮沫', '入香料同煮，盖上盖，小火，焖煮40分钟左右', '待肉9分熟时可下入白萝卜块，盖盖，小火，继续焖煮15分钟左右', '白萝卜可用筷子扎透，放适量盐调味，即可出锅', '撒些香菜，提色提香！喝上一大碗，好暖和呀！']",150,富含蛋白质、维生素C、铁元素
春笋吐艳,229613.jpg,松花蛋肠 胡萝卜 莴苣 日本大根 土豆泥,西火腿 白萝卜 黄瓜 酱牛肉,,原味,,,春季食谱,"['原料有，松花蛋肠，西火腿，胡萝卜，白萝卜，莴苣，黄瓜，日本腌萝卜，酱牛肉，土豆泥（原料可以改变，反正是有什么就用什么）', '然后土豆泥打底，摆出大致框架雏形，（土豆泥要事先调味，如果不喜欢吃可以用紫薯泥，味道非常好，且颜色漂亮）', '将所有原料改刀成水滴型，然后切片，拼成扇形（不同的位置需要用不同角度的扇形,莴苣，胡萝卜，白萝卜要切好片之后好调味，可以用盐腌法，糖渍法，糖醋法）', '然后以从上到下的顺序进行拼摆（笋的话要用水滴型拼摆，土地的话实在不会就直接切圆片拼满即可）', '完成']",100,富含纤维素、含蛋白质、维生素C
枣泥蛋黄酥,233757.jpg,面粉 红枣 咸蛋,玉米油 白糖 温水,,咸甜,,,儿童节,"['准备好所需要的材', '先把红枣洗好，泡20分钟，取出枣核', '奶锅放少量水，加入红枣煮10分钟', '把煮好的红枣倒入破壁机杯中', '开启机器把红枣打成泥', '细腻的枣泥馅就做好了', '做水油皮：把200G面粉、40G糖、100G水和40G油混合揉均成为水油皮面', '再做油酥：把120G面粉和60G油混合成为油酥', '松弛好的水油皮和油酥取出,都分成平均的16份', '取一个水油皮包放一枚油酥，包好压扁，用擀面杖擀开', '再顺势卷起', '全部做完这一步用保鲜膜包起来入冰箱松弛20分钟', '20分钟后拿出来，取一枚再擀开', '顺势再卷好', '做完全部仍放冰箱松弛20分钟', '再重复第13-15步一次,松弛好后取出擀平，中间放上枣泥蛋黄（咸蛋取出蛋黄切两半，用枣泥包住）', '包好收口成型', '依次做完排入烤盘，有的只包了枣泥', '刷蛋液，撒黑芝麻，入190度的烤箱,中层25分钟左右出炉即', '刚出炉的香酥可口非常好吃']",500,富含蛋白质、维生素E、铁元素
酱香八爪鱼,236207.jpg,八爪鱼,盐 豆瓣酱 料酒 孜然,,酱香,,,夏季食谱,"['八爪鱼去内脏清洗干净', '用开水焯熟，捞出备用', '热锅冷油', '油温七成热的时候加入八爪鱼翻炒', '翻炒几下加入豆瓣酱，盐，料酒，糖，孜然，胡椒粉继续翻炒，豆瓣酱沾满每个八爪鱼就可以出锅了', '装盘开吃吧！']",100,富含蛋白质、维生素B、铁元素
清炖山药牛骨汤,377797.jpg,牛骨肉 山药 花椒 八角,盐,,咸鲜,,,冬季食谱,"['用料：牛骨肉500克，山药300克，花椒适量，八角1个，盐适量，', '牛骨肉洗净切块，', '放入锅中，加入清水大火煮开，', '煮沸数分钟。', '捞出，弃汤不用。', '倒入高压锅中，加入花椒八角清水，', '盖好盖子，放上限压阀，上汽后压40分钟，', '肉烂脱骨，捞出，弃汤不用。', '山药洗净去皮，切块。', '锅中倒入牛骨肉，清水，煮开后加入山药，', '煮至山药熟透，', '调味出锅。']",100,富含蛋白质、含钙、维生素B
冻香蕉,250671.jpg,香蕉,奶油霜 面包糠,,甜味,,,夏季食谱,"['1', '2', '3', '4', '5', '6', '7', '网络超红的“冻香蕉”！据说好吃到六亲不认！！']",100,富含维生素、含钾元素
洋葱煎牛仔排,310579.jpg,牛仔排 洋葱,盐 黑胡椒 植物油,,咸甜,,晋菜,,"['买好的牛仔排', '牛仔排解冻', '将牛仔排分成适当的大小，撒一些盐，腌一会儿', '洋葱切片', '取适量黑胡椒，碾碎', '平底锅中放适量植物油', '油温热后，将牛仔排逐片码入，小火慢煎', '正面煎变色后，将牛仔排逐个翻面，继续小火慢煎', '同时加入适量洋葱片', '稍稍搅拌，把洋葱埋到底部，小火慢煎出洋葱香味，并加入适量黑胡椒粉', '稍微搅拌一下，出锅', '非常美味噢！', '口水ing！']",300,富含蛋白质、维生素B、铁元素
家常豆腐,434330.jpg,豆腐 葱 豌豆 彩椒,郫县豆瓣 糖 酱油,,微辣,,,秋季食谱 冬季食谱,"['北豆腐一块', '切片', '油煎，双面焦黄后盛出', '热油锅下姜丝', '放郫县豆瓣炒香', '放入豆腐', '放糖', '放酱油，放少许水', '放煮过的豌豆和彩椒', '撒葱花', '成品图。']",150,富含蛋白质、含钙、维生素E
土豆炖排骨,232233.jpg,排骨 土豆 胡萝卜,盐 姜 料酒 大葱 干黄酱 香叶 八角 桂皮 九三非转基因玉米油,,咸鲜,,,秋季食谱 冬季食谱,"['准备材料。', '排骨斩成小块，开水氽烫去血沫捞出备用。', '锅中加入九三非转基因大豆油底小火爆香葱姜。', '加入焯过的排骨翻炒直至炒干排骨上的水炒至有香味。', '将干黄酱泄开。', '炒香的排骨烹入料酒，加八角、桂皮、香叶。', '加入干黄酱、盐适量的水大火煮开转小火炖20分钟。', '土豆、胡萝卜切成滚刀块备用。', '20分钟后加土豆。大火烧开后转中火。再炖20分钟即可。']",200,富含蛋白质、含维生素B、铁元素
炸西葫芦夹,223862.jpg,西葫芦 猪肉馅,色拉油 盐 面粉 鸡粉 淀粉 椒盐粉,,咸鲜,,,夏季食谱,"['西葫芦一个，洗净切半个', '均匀切成薄片', '用裱花嘴扣了中间部分', '包馄饨剩下的一点肉泥调好味的，把肉泥填在中间', '碗里放入面粉加点盐', '加点鸡粉加水调成厚糊', '把西葫芦先挂上面糊', '再拍上干淀粉', '小锅里加热色拉油后，放入西葫芦夹', '炸至金黄色捞出沥干油或者用厨房纸巾吸油，撒上椒盐粉就可以食用了']",100,富含膳食纤维、含维生素C、钾元素
青椒香菇肉片,277508.jpg,青椒 干香菇 猪前腿,生姜粉 料酒 生粉 生抽 菜籽油 蒜 蔬之鲜 食盐 白糖 姜,,微辣,,,夏季食谱 夏季食谱,"['干香菇冲洗揉搓去掉表面脏东西，加水泡发', '猪前腿肉一块，清洗一下，去掉肥肉部分，切肉片备用', '肉片中加入少许生抽，适量料酒，一点白胡椒粉一点生姜粉，一点食用油，搅拌均匀，再加入少许生粉拌匀，腌制十分钟', '青椒三颗，去蒂去籽，洗净备用', '青椒切一半，再纵切成宽约两毫米的青椒条，不必切成青椒丝', '泡发好的香菇，切成约一两毫米厚的香菇片，同样不用切太薄，以免失去肉肉的口感', '姜去皮洗净切姜丝，蒜剥皮洗净切蒜蓉备用', '热锅加入少许油，放入腌制好的肉片，中火翻炒至表面变白断生，即可盛出', '锅中底油如不够可再加入少许油，放入姜末蒜蓉煸香', '放入香菇片翻炒一分钟', '加入断生的肉片', '加入青椒条，翻炒', '淋入适量生抽，翻炒一两分钟，期间淋入少许泡香菇的水', '加入少许白糖，尝下咸淡，适量厚添加一点食盐和蔬之鲜，大火翻炒青椒变软即可出锅', '成品', '成品，这道小炒，猪肉搭配香菇、青椒，营养丰富，微辣咸鲜，猪肉嫩嫩的，香菇肉肉的，口感很好，简单却好味']",150,富含维生素、含蛋白质、铁元素
芝士焗南瓜凤尾虾,359965.jpg,凤尾虾 南瓜 美国卡夫芝士粉,色拉油 盐 蛋清 生粉 炼乳 南瓜羹 黄油,,咸甜,,,秋季食谱,"['南瓜去皮去瓤洗净上屉蒸熟晾凉备用', '凉透的南瓜按照自己的喜好造型', '凤尾虾洗净，虾肉中间开一刀，尾部穿过造型', '取小碗加入蛋清和生粉搅拌均匀，放入处理好的凤尾虾腌制3分钟', '砂锅加入适量的色拉油，烧至4成油温滑入腌制好的凤尾虾，小火滑熟取出控净油，或用厨房纸吸油', '凤尾虾摆盘', '半小碗南瓜羹加1汤匙炼乳调匀', '奶锅加入黄油溶化后加入调好的炼乳南瓜羹，小火煮', '加入芝士粉', '搅拌均匀，小火熬制浓稠', '出锅，浇在虾肉上，OK啦！']",150,富含蛋白质、维生素A、钙、锌
培根三文鱼卷,221337.jpg,三文鱼 培根 黄瓜 豌豆,盐 黑胡椒 柠檬汁 黑胡椒沙拉酱 白糖 酸奶,,咸鲜,,,夏季食谱,"['材料图。', '豌豆洗好，上笼蒸上。', '三文鱼切条，加盐胡椒粉柠檬汁腌上。', '培根黄瓜都改刀成合适的块。', '一条鱼肉，一条黄瓜，一片培根，卷起来，用牙签固定。', '逐一卷好固定好。', '空气炸锅提前预热，然后放上卷好的卷卷。', '180度10分钟。中间可以拉开看一下，因为培根和三文鱼油脂含量都比较高，不用另外加油了。', '蒸好的豌豆加糖和小量酸奶。', '用料理机打成泥。', '将豌豆泥装入裱花袋中。', '三文鱼卷摆盘后用豌豆泥做造型，挤上黑胡椒沙拉酱即可。']",200,富含蛋白质、维生素D、欧米伽-3脂肪酸
烤洋葱圈,299943.jpg,洋葱,鸡蛋 五香粉 盐 面包糠 面粉,,五香,,,春季食谱 秋季食谱,"['原料。', '洋葱切开。', '面粉里放入盐、五香粉，拌匀。', '分成一个个洋葱圈。', '把洋葱圈一个个先裹面粉，再裹蛋液，最后蘸面包糠。', '将洋葱圈摆入空气炸锅的烤盘上。定时十分钟。', '时间到，洋葱圈飘出香味儿。', '金黄酥脆！']",100,富含维生素C、含碳水化合物
黑椒烤兔腿,209136.jpg,兔腿 老姜 大葱,料酒 黑椒酱 生抽 糖 盐 食用油 花椒 八角 香叶 陈皮 小茴香 现磨黑胡椒,,咸鲜,,西北菜,夏季食谱,"['准备好全部食材，香料；', '兔腿事先用清水浸泡1~2小时，然后洗净沥干水分；', '用牙签或者叉子，在兔腿上面扎些小孔（可以多扎一些，方便入味）；', '小碗中依次加入料酒、生抽、黑椒酱、糖、盐、各种香料，拌匀；', '姜切厚片，葱切粗条，放在容器底部；', '放上兔子腿；', '将混合好的酱汁，淋在兔子腿上；', '一面淋好后，将兔子腿翻面，继续淋上酱汁；', '将酱汁与兔子腿混合好，用手揉捏一会，然后盖上盖子或者保鲜膜，放在冰箱冷藏一晚；', '第二天，将兔子腿取出，用清水稍稍冲洗，洗去表面的香料，再用厨房用纸擦干水分；', '将容器中剩下的酱汁过滤；', '锡纸上刷一层薄薄的食用油；', '兔子腿放在锡纸上，再刷一层过滤后的酱汁，正反两面都要刷；', '用锡纸将其严密的包裹起来。烤箱预热200度，预热结束后，将兔子腿送入烤箱，中层，上下火，190度，烘烤20分钟；', '烘烤结束后，取出锡纸包，打开后，再刷一层酱汁，送入烤箱，继续烘烤10分钟；', '5分钟后，取出兔腿，翻面后，刷上一层食用油，再撒上白芝麻和黑胡椒碎，送入烤箱，继续烘烤10分钟；', '每隔5分钟左右，重复操作一次步骤21，大概操作3次，直至将兔腿表面烤至金黄，有浓郁香气传出，取出稍凉即可食用（最后如果兔腿上色不够，可以单独开上管加热2~3分钟）。']",200,富含蛋白质、含铁元素
衢州烤饼,518322.jpg,中筋面粉 温水 盐,五花肉 葱 辣椒,,原味,,浙菜,,"['300克面粉加入170克温水，加入食盐，揉成光滑的面团，盖上保鲜膜醒发30分钟。', '五花肉剁碎，加入适量食盐、料酒、油搅成肉馅。', '葱切碎装盘。', '多加一些葱花。', '图中葱花有点少，再加一倍左右更好吃。', '烤箱250度预热五分钟，放入饼，烤12分钟。']",100,富含碳水化合物、含蛋白质
茄子条,177272.jpg,茄子 肉丝 亨氏番茄酱,葱 姜,,酸咸,,,夏季食谱,"['主料准备好', '茄子洗净，切长条', '锅里放比平时炒菜多两倍的油，烧热后放入茄子，炒至软熟后捞出', '锅里留少量油，放入肉丝拌炒', '炒至肉丝变色后，放入姜末、番茄酱和少量生抽，拌炒至上色', '放入茄子一起拌炒', '撒少许盐提味，出锅前撒入葱花即可']",120,富含维生素C、含膳食纤维、含蛋白质
藜蒿炒腊肉,374424.jpg,藜蒿 腊肉,料酒,,微辣,,赣菜,冬季食谱,"['藜蒿洗净切段。', '腊肉切薄片，姜切片，辣椒切菱形片。', '锅中放油，放入蒜粒与辣椒片炒香。', '倒入腊肉炒出猪油淅出。', '倒入藜蒿翻炒，加入料酒，盐与酱油。', '美味的江西菜出锅了。']",200,富含维生素、含蛋白质、铁元素
孜然牛肉土豆片,267656.jpg,土豆 牛肉,干辣椒 孜然粒 老抽 辣椒粉 葱花 白芝麻,,微辣,,,冬季食谱,"['土豆适量，刨去土豆皮，切成均匀较厚的土豆片备用。', '牛肉适量，先冻一下再切（便于切片均匀），切好的牛肉片放入碗中加水解冻，解冻后捞出挤干水份，不要用太大的力。挤水后置于碗中，加适量的盐抓粘备用。', '干辣椒适量，小火炒干炒香，炒香炒干的辣椒可开通过声音来判断是否炒到位了（可查看视频菜谱）。炒香后辣椒倒出晾凉后装入打粉机，打碎即行，不要打成粉。孜然粒也用小火炒香，也可以通过听声音辨别是否到位，炒香后倒出晾凉。', '锅烧热去油、光锅，倒入牛肉片后大火煸炒至牛肉变色，牛肉变色后拔向锅边，下入适量的豆瓣酱炒散，再和牛肉一起炒香。', '再倒入土豆片大火翻炒，炒的时候淋入适量的水，防止酱料粘锅出糊味，土豆变色，加入适量的盐、老抽和水大火翻炒均匀。再加入炒香的辣椒粉、孜然粒、葱花、白芝麻大火翻炒均匀，加入适量的水，抖锅翻炒，让香料黏在土豆片上，关火即成。', '成品图']",200,富含蛋白质、维生素B、铁元素
羊肉罗卜汤,243273.jpg,羊肉 白罗卜,生姜 花椒 盐 香菜 料酒 白糖,,清淡,,,冬季食谱,"['羊肉冷水下锅煮沸，倒出清洗干净备用', '萝卜切成块分成两份，生姜敲一下，花椒备好。', '将一份罗卜及羊肉放入沙锅中加足水，加入料酒、生姜、花椒开始大火煮开转小火慢炖半小时', '把萝卜挑出，重新放入另一半罗卜块再炖半小时，加入糖一起炖', '出锅前加入盐调味撒入香菜即可']",150,富含蛋白质、维生素B、铁元素
黑芝麻汤圆,362290.jpg,糯米粉,黑芝麻 花生碎 白糖 猪油,,甜味,,,元宵节,"['准备好原料', '糯米粉加热水揉成面团', '软硬成度不粘手即可', '面团搓条揪剂子，放入黑芝麻馅，包成汤圆', '起锅烧水，水开后下入汤圆，煮十分钟汤圆漂起来就可以盛岀来了，成品图']",200,富含脂肪、含蛋白质、碳水化合物
茄子,413226.jpg,长茄子 肉末,盐 料酒 味极鲜酱油 蚝油 姜 小米椒 蒜,,咸鲜,,,夏季食谱,"['茄子切滚刀块。', '肉末加料酒、盐、味极鲜、1勺玉米油抓匀腌制一会。', '姜蒜、小米大椒切好备用。', '锅中倒入油烧至六七成热、下茄子炸软捞出沥干油分。', '锅留底油爆香姜蒜。', '下肉末炒至变色。', '下茄子、小米椒翻炒。', '调入少许盐、味极鲜、蚝油、糖。', '翻炒均匀。', '出锅前撒入葱花。', '成品图。']",115,富含维生素C、维生素E、膳食纤维、钾
酸辣粉,233528.jpg,红薯粉条,小青菜 海带丝 油豆皮 花生米 葱 姜 蒜 郫县豆瓣酱 辣椒面 花椒粉 胡椒粉 芝麻酱 五香粉 生抽 醋 白砂糖 鸡精 植物油,,酸辣,,重庆菜,夏季食谱,"['红薯粉条温水泡软备用。', '干辣椒面和花椒粉放入碗里，比例大概为5：1。', '锅里热油，大概六成热时，关火，分两次浇入刚刚辣椒花椒粉中。这么多油是用不完的，大概还剩1/2的样子。', '泼好的油辣椒。', '趁热往油辣椒里加入两勺生抽。', '再加入一点芝麻酱。搅匀，油辣椒制作完成。', '用锅中剩下的油炸花生米。油不能烧太热，不然容易糊。小火，听到噼啪声后再炸二三十秒就可以了。', '捞出控油。凉透就会很酥脆了。', '葱姜蒜切末。', '锅中留底油，炒香豆瓣酱。', '加入葱姜蒜末翻炒，炒香。', '加入一半刚做好的油辣椒，倒入水，烧开备用。最好用鸡汤，但是我今天没有，就没用。味道也不差！这就是底汤，汤要宽一些。', '泡发好的海带和油豆皮分别切丝。外面卖的酸辣粉里没有这些，但是自己做嘛，可以有！', '取一只大碗，放一勺干辣椒面，1/3勺花椒粉，一个勺尖儿的胡椒粉，一丢丢五香粉和鸡精，一点白糖，一勺生抽，一勺半陈醋，再来一勺油辣椒。', '另起锅烧水，水烧开后下入适量红薯粉条，烫30到50秒即可捞出。码在调好调料的碗里。', '再烫小青菜。应该用小青菜，但我今天只有小白菜。。。', '烫油豆皮和海带丝~', '全部码在碗中。', '浇入滚热的底汤，再撒一些花生米做点缀。色香味俱全！']",100,富含碳水化合物、含蛋白质、维生素C
干炸小鱼,275033.jpg,小鱼,盐 料酒,,咸鲜,,,秋季食谱 冬季食谱,"['早市上买的小鱼这种鱼叫噘嘴鲢子用其他鱼也一样哈还可以用小黄花之类的海鱼一样好吃', '把鱼处理一下去掉内脏也可以去头', '🐟洗净用料酒和食盐腌制一下，然后控干裹干面', '裹匀干面抖净浮面', '下油锅炸温度不宜过高', '炸到表面金黄', '捞出调高油温再次复炸', '出锅撒椒盐或者孜然辣椒粉']",200,富含蛋白质、含不饱和脂肪酸
土豆烧肉圆,170063.jpg,土豆 肉圆,姜 葱,,酸甜,,,秋季食谱 冬季食谱,"['、准备食材。', '把土豆去皮，洗净。', '把土豆切小块清水泡3分钟', '切好姜和葱。', '炒香姜和葱。', '加入土豆丁炒一下', '加入肉圆。', '加入开水，沫过土豆。', '加入生抽。', '加入番茄酱。', '准备些水淀粉。', '、炖至土豆熟透。加入葱和盐调味。', '13、加入水淀粉，拌匀，即可出锅。']",200,富含碳水化合物、含蛋白质、维生素C
辣子鸡,194929.jpg,小鸡仔,油 大蒜 白芝麻 香葱 豆瓣酱 干辣椒 盐 花椒 料酒 淀粉,,微辣,,川菜,,"['将鸡仔切小块，用清水多清洗几次，以断血水为止.将水倒干.加入料酒.豆瓣酱.盐.少许淀粉拌均匀后淹制半小时，以便入味.将干辣椒切断备用，大蒜清洗备用.', '将锅中倒入二两油烧热，将火温调小，淹制的鸡块慢慢放入油锅中炸香.并翻动以免炸糊，以炸黄盛出香味即可.预计15分钟.', '炸好后将鸡块盛出，将大蒜，花椒粒放入油锅中炒香,最后再放入干辣椒炒一分钟(火温一样不需太大,或则干辣椒易糊)最后将炸好的鸡块倒入,并撒上白芝麻翻炒两分钟,即可装盘.撒上葱花就完成啦!']",300,富含维生素、含蛋白质、辣椒素
酸辣糖醋排骨,280995.jpg,排骨 杭椒 圣女果 胡萝卜,葵花籽油 葱叶 姜片 桂皮 八角 料酒 老抽 食盐 白糖 老冰糖 白芝麻,,酸甜,,,冬季食谱,"['准备好食材', '锅中放入排骨、姜片、料酒和冷水，煮开后捞出排骨洗净', '锅中重新加葱姜和清水加盖大火', '煮开后撇去浮沫', '倒入料酒转小火煮至6成熟', '稍闷一会儿拣出排骨晾凉', '备好葱姜杭椒等作料', '锅热倒入葵菜籽油爆香葱姜后盛出', '放入排骨', '煎制两面金黄后滴入料酒', '适量老抽和小把老冰糖', '加入温水和葱姜大料加盖大火', '煮开后撒小半勺食盐转小火', '见汤汁不多时沿锅边滴入香醋', '加3小勺白糖', '倒入杭椒胡萝卜大火收汁后关火', '再切一个圣女果', '装入盘中即可']",300,富含蛋白质、含钙、维生素B
红糖粑粑,378767.jpg,糯米粉,热水 红糖 花生碎 椰蓉,,甜味,,川菜,,"['糯米粉加热水用筷子搅拌成絮状（水量适当增减），用手和成光滑的面团，盖上保鲜膜醒15-20分钟', '手上沾少许油防止沾手，将面团揉下，揉成长条揪大小合适的剂子，团成圆球', '锅里放油将圆球按扁煎至两面焦黄，乘出备用', '红糖加热水化成红糖水', '锅里的底油倒出，加入红糖水加入煎好的小饼，糖水汁收干盛出', '装盘撒上适量的花生碎和椰蓉']",150,富含碳水化合物、含微量元素
蒜子玉米煲牛肉,220828.jpg,牛肉 玉米 大蒜 香菜,调和油 沙拉汁 甜辣酱 生抽,,微辣,,,秋季食谱,"['材料：牛肉500克香菜3克棵玉米1根大蒜一朵调料：调和油适量生抽适量姜香沙拉汁甜辣酱适量', '.牛肉焯水', '.剥好大蒜，玉米洗净切好备用。', '.捞起来沥干备用。', '.热锅倒入大蒜爆香，皮有金黄色捞起。', '.倒入玉米翻炒。', '倒入牛肉片再次翻炒。', '.倒入生抽。', '.倒入姜香沙拉汁。', '倒入甜辣酱防翻炒入味。', '.倒入蒜子翻炒一下。', '.转倒砂锅煲内煲35分钟。', '.倒入锅里调人盐巴味精待盐巴味精入味马山起锅。']",100,富含维生素、含蛋白质、铁元素
年糕排骨煲,353456.jpg,年糕 排骨,姜 洋葱 红干椒 八角 花椒 红烧酱油 食用油 精盐 小番茄,,微辣,,,秋季食谱,"['备好食材。', '排骨用清水冲洗二三遍。', '锅中入清水，姜，花椒少许，排骨，然后烧开。', '排骨捞出后冲洗。', '年糕切厚度均匀小片。', '备好洋葱，姜，红干椒，花椒，八角。', '锅中入油，炒香配料：干椒，花椒，八角，洋葱。', '加入排骨，加入适量红烧酱油炒匀。', '加入适量开水沫过排骨，加少许盐，烧开转小火煮约10分钟。时间按自己喜欢口感来定。', '把煮过排骨带汤装入砂锅胆中。摆上年糕，加盖。再次烧开。', '酒精托中放入酒精，点燃。', '待年糕变软，拌匀就可以吃了。排上小番茄装饰，熟了味道也很好呢。']",300,富含蛋白质、含碳水化合物、含钙
